COMMENT ##############################################################################																																																							
COMMENT Business Entity : Position
COMMENT ##############################################################################
METADATA|Position|SourceSystemOwner|SourceSystemId|Name|PositionCode|BusinessUnitName|DepartmentId(SourceSystemId)|JobId(SourceSystemId)|PositionType|FTE|HeadCount|WorkingHours|Frequency|HiringStatus|ActiveStatus|EffectiveStartDate|EffectiveEndDate|SourceRefTableName=POSITION_DATA|SourceRef001=<source-column>

COMMENT Human Resource Positions
MERGE|Position|XX_AT|XX_AT_PROJ1R_US_HR_MGR|XX_AT_RES Human Resources Manager US|XX_AT_PROJ1R HRM_US|US1 Business Unit|XX_AT_PROJ1R_HR|XX_AT_PROJ1R_JOB3|POOLED|1|3|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_US_HR_MGR
MERGE|Position|XX_AT|XX_AT_PROJ1R_UK_HR_MGR|XX_AT_RES Human Resources Manager UK|XX_AT_PROJ1R HRM_UK|UK Business Unit|XX_AT_PROJ1R_HR|XX_AT_PROJ1R_JOB3|POOLED|1|3|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_UK_HR_MGR
MERGE|Position|XX_AT|XX_AT_PROJ1R_US_HR_Specialist|XX_AT_RES Human Resources Specialist US|XX_AT_PROJ1R HRS_US|US1 Business Unit|XX_AT_PROJ1R_HR|XX_AT_PROJ1R_JOB4|POOLED|1|10|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_US_HR_Specialist
MERGE|Position|XX_AT|XX_AT_PROJ1R_UK_HR_Specialist|XX_AT_RES Human Resources Specialist UK|XX_AT_PROJ1R HRS_UK|UK Business Unit|XX_AT_PROJ1R_HR|XX_AT_PROJ1R_JOB4|POOLED|1|10|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_UK_HR_Specialist

COMMENT Operations Positions
MERGE|Position|XX_AT|XX_AT_PROJ1R_US_RGN_MGR|XX_AT_RES Operations Regional Manager US|XX_AT_PROJ1R RGN_MGR_US|US1 Business Unit|XX_AT_PROJ1R_OP|XX_AT_PROJ1R_JOB5|POOLED|1|15|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_US_RGN_MGR
MERGE|Position|XX_AT|XX_AT_PROJ1R_UK_RGN_MGR|XX_AT_RES Operations Regional Manager UK|XX_AT_PROJ1R RGN_MGR_UK|UK Business Unit|XX_AT_PROJ1R_OP|XX_AT_PROJ1R_JOB5|POOLED|1|8|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_UK_RGN_MGR
MERGE|Position|XX_AT|XX_AT_PROJ1R_US_LCL_MGR|XX_AT_RES Operations Local Manager US|XX_AT_PROJ1R LCL_MGR_US|US1 Business Unit|XX_AT_PROJ1R_OP|XX_AT_PROJ1R_JOB6|POOLED|1|35|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_US_LCL_MGR
MERGE|Position|XX_AT|XX_AT_PROJ1R_UK_LCL_MGR|XX_AT_RES Operations Local Manager UK|XX_AT_PROJ1R LCL_MGR_UK|UK Business Unit|XX_AT_PROJ1R_OP|XX_AT_PROJ1R_JOB6|POOLED|1|35|40|W|APPROVED|A|1950/01/01|4712/12/31||XX_AT_PROJ1R_UK_LCL_MGR
